userName,score,at,content,sentiment
Merliana Manalu,1,2023-02-14 02:13:52,"Telkomsel sekarang jadi perusahaan curang,setiap kita buka Facebook akan selalu susah terbuka gambar atau vedio.padahal kuota kita berlimpah.disaat kita lengah Telkomsel akan mendatangkan notifikasi pinjam kuota,anehnya kita langsung dapat notifikasi punya hutang 10rb.setelah punya hutang 10rb,gambar vedio langsung kebuka.kan aneh...punya kuota banyak masa gak bisa buka gambar di fb.tolong buat Menkominfo agar PT Telkomsel ini di tegur.di mencurangi masyarakat dengan sistem.",NEGATIF
Jumadi Akhir,5,2023-02-05 11:20:12,"cuma satu masalahnya min , jaringan nya lemot,mau push metik log out mulu 😔",NEGATIF
Dedi Goax,5,2023-02-17 16:54:18,"beli paket data,beli sekarang bayar nanti belum bisa ya",NETRAL
Theresia Afriliyanti Sitompul,5,2023-02-08 10:15:11,"Telkomsel mantaps jasa, semoga bonusnya tambah ke Prime Video",POSITIF
Haji Idris MS.I,5,2023-02-08 03:12:25,Pelayan Mantap,POSITIF
Ntis Sutrisno,5,2023-02-07 13:00:27,Mantap cuyyyy,POSITIF
Edyy TeenZil,3,2023-02-01 20:47:13,"Diskon pembelian paket data tidak ada, aturan ceck in dibuat ribet. Penggunaan aplikasi sudah tidak menguntungkan kecuali fitur jaga pulsa saja yang berguna. Sisanya semakin tidak menguntungkan user.",NEGATIF
Anang Marwoto,1,2023-02-07 01:39:32,Ringan buruk sering error,NEGATIF
Enggak Tau yo,1,2023-02-11 06:24:39,Jaringannya sangat bagus👍👍,POSITIF
Paoel Oprek,5,2023-02-14 17:33:03,"aplikasi sangat membantu.. dan mudah di pahami,buat yang belum download buaruan download,beli pulsa&paket data jadi mudah dan banyak diskon nya",POSITIF
Noxix •Id,5,2023-02-27 11:28:29,smoga dapat pulsa gratis in hari,NETRAL
Hikam 07,4,2023-02-10 02:15:21,Mohon kepada Telkomsel untuk Kouta nya jangan terlalu mahal,NETRAL
imortal_99,1,2023-02-08 09:47:58,payah paket kuotanya ga jelas pulsa kadang ilang sendiri jauh beda sama xl paket gede harga miring,NEGATIF
Ahmad Choiri,1,2023-02-24 09:28:13,telkomsel sinyalnya ngeri gak sebanding dngn harga dlu rajanya sinyal sekarang aduuh parahhhhh,NEGATIF
hendra heriyadhi,5,2023-02-15 01:39:04,sangat mudah di fungsinya,POSITIF
Raffi Akhmad,1,2023-02-28 12:35:38,"Sangat tidak enak harga mahal, ga sesuai dengan yg di dapat",NEGATIF
Fahmi Aceh,5,2023-02-01 05:01:23,beri kan diskon harga lagi,NETRAL
Ridon Sitorus,5,2023-02-08 00:55:36,"Yes, it's good",POSITIF
Jamey Hoppus,1,2023-02-06 12:31:37,Udah beli toping pakey youtube. Tp yg kemakan masig kuota utama. kagak jelas amat.,NEGATIF
Gian Nurgiansyah,5,2023-02-09 12:08:39,Semaki. Buruk suka hilang gk jelas telkomsel..... Gk stabil...... Payah,NEGATIF
SalunaMaulid Dhia,1,2023-02-01 13:50:36,lemot terus........😡😡😡,NEGATIF
Mad BersekeR,1,2023-02-14 02:08:25,"Bintang paling mentok bintang 1 ??? G bisa di kurangi lagi ??? Kasih -5 begitu. Harga paket mahal sekali, jaringan tidak stabil, poin selalu hangus di akhir tahun. Terlalu banyak makan uang konsumen provider 1 ini. Tukar poin pun harus pakai tambahan pulsa. SANGAT KECEWA 👎👎👎👎👎",NEGATIF
Merson Bani,2,2023-02-05 11:01:10,Telkomsel terlalu mahal untuk beli paket,NEGATIF
Adi Suhardi (Allek),3,2023-02-09 23:50:15,paket kuota nya pada mahal semua,NEGATIF
Andri Ansyah,4,2023-02-26 14:30:31,"Aplikasi nya bagus, hanya pajak, ppn, dan jasanya dimurahkan ya, karena saat ingin isi ulang/top up di dalam permainan, selalu saja kekurangan pulsa Telkomsel nya, jadi tolong min agar dimurahkan sedikit.",NETRAL
Rahmatt TV,3,2023-02-13 17:32:25,"Aku kasih 3 bintang,karna makin jelek sinyalnya ketika main game,tdak seperti dulu",NEGATIF
Safta Nasution,1,2023-02-13 16:14:16,Jaringan ampass bgt,NEGATIF
Rungkad Siti,1,2023-02-02 05:21:05,udah berbulan-bulan sinyal di tempat gw jelek banget main game online gabisa. ga pernah di benerin sama ini operator . apaan harga kuota mahal kualitas jelek. mengecewakan.,NEGATIF
Rizal Jamil,1,2023-02-06 08:41:55,Kenapa link telkomsel selalu tidak valid atau kadaluarsa,NETRAL
Reno Tri,5,2023-02-22 02:47:10,"Mohon bantuan nya kak..nomor hp saya ,paket kuota nya mahal-mahal kak..",NETRAL
Farhan Clapar,4,2023-02-02 04:26:21,ya sangat . bagus .praktis.,POSITIF
nayar suhendra,4,2023-02-04 02:40:05,lancar asal ada kuota,NETRAL
Ahmad Rahmam,1,2023-02-01 08:48:54,Jaringan Telkomsel di Bandar Lampung udah 2 hari ini jaringan nya lelet kayak bekicot😩,NEGATIF
rika rahim,5,2023-02-01 03:34:09,Lumayan..mantap,NETRAL
Endang 123,3,2023-02-11 04:12:41,kalau menang undiannya saya ksh bintang 5 wkwkwkwk,NETRAL
Johan Komering,5,2023-02-16 05:33:34,"Tunggu l, saya akan segera balik.",NETRAL
elvituti nurhayati,3,2023-02-04 19:26:32,"Modul 3.1 Pengambilan Keputusan Berbasis Nilai-Nilai Kebajikan Sebagai Pemimpin 1. Fact (Peristiwa) : Pengalaman saya mengikuti pembelajaran pada minggu ini sangat luar biasa. Saya melaui tahapan belajar MERDEKA sama halnya dengan modul-modul sebelumnya. MERDEKA merupakan singkatan dari Mulai dari diri, Eksplorasi konsep, Ruang kolaborasi, Demonstrasi kontekstual, Elaborasi pemahan, Koneksi antar materi, Aksi nyata. Tahap mulai dari diri, saya melakukan kegiatan yang bertujuan untuk mengakt",NETRAL
Nur Aisyah,5,2023-02-02 21:02:18,kualitas oke,POSITIF
Tari Cahyati1303,5,2023-02-13 08:19:01,sangat baik dan. memuaskan,POSITIF
Silver Queen,5,2023-02-09 11:41:11,walaupun gak pernah dapat menang undian pulsa tetep terbaik Telkomsel mungkin belum rezeki,POSITIF
Dea _zzz,1,2023-02-06 13:55:17,"Bagus banget,kalian harus pake telkomsel",POSITIF
Sarjono Hernandez,5,2023-02-05 12:08:29,semoga makin membaik,NETRAL
Togap Rajagukguk,1,2023-02-03 12:14:55,"Ku Download, Login Minta Kode Verifikasi, SMS Masuk Yang Ber Isi Link,. Bingung, gk Sperti Kartu Yang Lain Cepat Simpel gk Ribet,. Langsung Uninstal. Gk Bagus Mempersulit",NEGATIF
Rony Relic,1,2023-02-22 02:16:08,"KUOTA MAHAL KONEKSI MURAHAN. kuota di bagi² tapi banyak yg gak kepake, kuota youtube kagak bisa di pake youtube🤣🤣 Kuota abis pulsa langsung kesedot. Cari untung gini amat njir, amit² simpati Bagusan pake IM3 Kuota murah, koneksi bagus, kuota abis pulsa kagak jadi korban, pake game lancar. Ganti nama jangan pake simpati tapi SIMTAI!!",NEGATIF
Yusuf Arda,1,2023-02-20 19:42:30,"USAHAKAN DULU JARINGAN NYA JANGAN UPDATE PAKET NYA AJA,GUA MAHAL² BELI PAKET MALAH NGELAG LU PIKIR PAKET GUA DI KASIH BAPAK NENEK LU,KAGAK TOLOL,LU PERBAIKI TU DULU JARINGAN NYA,KALAU KEDEPAN NYA MASIH KEK GINI MENDING HUA BERALIH KARTU LAIN AJA DEH,GAK SANGGUP HUA BERTAHAN AMA YG MAHAL DOANG TAPI KAGAK BERKUALITAS",NEGATIF
Soli Soli,5,2023-02-16 14:06:44,tingkatkan kualitas dan pelayanan,NETRAL
Sri Suwandi,3,2023-02-14 00:44:32,paketnya terlalu mahal jdi kasi bintang 3 dulu,NEGATIF
Kartini Kasim,4,2023-02-26 01:00:52,Kalo musim huja lalod Binlkin stresnya klo pas butuh informasi,NEGATIF
Pengguna Google,1,2023-02-13 15:48:31,"Harga paket mahal, tapi jaringan lemot.",NEGATIF
Lutfah Siradjudin,3,2023-02-21 05:28:49,baru menggunakan aplikasi ini,NETRAL
Bintang Ponsel,5,2023-02-02 08:52:07,arnala240297,NETRAL
Tomi anak.e mbok.e,1,2023-02-03 02:15:20,"Sinyal full kenapa lemmot,saya pengguna di papua,tolong di tingkatkan lagi",NEGATIF
Dicky Pedray,1,2023-02-01 12:27:56,loading cu ah,NETRAL
Zulaikha Sayuti87,1,2023-02-01 23:21:39,makin kacau dan makin gak karuan banget TELKOMSEL ini.. makin usia lanjut makin uzur dengan segala programnya,NEGATIF
Ahmad Rafli,1,2023-02-14 19:24:57,"Signal suka ilang-ilangan ga jelas,,,padahal kuota lebih dari 90GB,,,yang becus lah!!!",NEGATIF
Riki Hungkul,5,2023-02-15 18:17:27,"Biar bintang yang bicara,soal nyah susah di jelaskan dengan kata-kata,mantulll poko nyah",POSITIF
Pasta Si payung,1,2023-02-01 03:24:38,Tolong berikan yg terbaik dong,NETRAL
Bambang Irawan,1,2023-02-09 13:03:48,"Tolong yg ga punya hutang jgn di potong, setiap saya isi ulang pulsa, slalu di potong padahal saya ga pernah ngutang",NEGATIF
Alam Rante Rante,4,2023-02-11 09:46:23,puas cm promo tambah ini lagi,POSITIF
Erwansyah,4,2023-02-14 10:10:22,siapa tau dapet mobil,NETRAL
Budi Royan,5,2023-02-23 15:38:14,Sering ngebug pas login,NEGATIF
Raнмad Dаviп кuгпiawaп _,1,2023-02-18 03:38:24,Percuma bisa check in tapi nggak dapat bonus utamanya!!!!!!!!!!!,NEGATIF
Ilham Maulana,4,2023-02-05 07:27:15,Kenapa sinyal telkomsel jadi ikut ikut m3 hah,NETRAL
Ferdyansyah Usman,1,2023-02-16 05:17:35,Sinyal parah bener main game ngelag terus,NEGATIF
Yudhis Saputra,5,2023-02-02 13:39:07,utamakan kualitas jaringan internet yg lebih baik,NETRAL
Moh ilham nurhamzah,5,2023-02-13 11:39:14,"Promo hanya untukmu sangat bersaing dengan kartu sim lain, semoga pingnya lebih stabil lagi terkadang lompat lompat di daerah Karangharjo, glenmore, Banyuwangi",NETRAL
Sudarmin,4,2023-02-09 13:46:23,lumayanlah,NETRAL
Novrian Pratama,4,2023-02-14 12:39:33,"Sedikit saran buat Telkomsel mohon untuk memperbaiki jaringan""signal di daerah""agar lebih baik lagi, ap lagi banyak konsumen pengguna berasal dari daerah""tepencil.makin hari jaringan internet di daerah""makin melambat/lemot",NETRAL
Fangy1000 1,2,2023-02-06 03:24:36,Masa aktif nya diperbatas kaga kaya dulu lagi sama hadiah login juga dibatasi jadi susah untuk dapet bonus intinya itu aja min tolong dikoreksi kedepannya,NETRAL
Dewi Rianti,4,2023-02-13 10:11:47,mantap.. cuma sedikit kecewa sama vs nya..,NETRAL
Yunus W 92,5,2023-02-08 16:55:12,sangat bgus sekali kurang nya cuman gk bisa beli pulsa bayar nya nnti,NETRAL
Didit Nugro Yulianto,5,2023-02-28 02:43:13,Aplikasi sangat bagus sangat membatu dan mudah sekali utk pengoperasiannya pokoknya best off the best deh,POSITIF
Ayah Riyan,5,2023-02-11 12:26:43,cara buat kartu 3g jadi 4g gimana ya ... kartu telkomsel,NETRAL
riski Wijaya,5,2023-02-27 22:56:22,solusi mudah,POSITIF
CANDRO GULTOM,5,2023-02-07 12:47:35,"perbanyak promo , karna kami orang susah",NETRAL
Dony Rizky,1,2023-02-27 05:43:08,"Untuk management My Telkonsel. jaringan internet sangat lah buruk, dan banyak merugikan masyarakat yang menggunakan Telkomsel. Termasuk saya pribadi merasa sangat dirugikan/merasa kecewa dikarenakan jaringan internet sering tidak normal dan bermasalah, pada saat jaringan internet 4G tetapi tidak bisa sama sekali di gunakan untuk bersosial media. Harapan saya:tolong masalah ini segera di tindak lanjut demi kelancaran pemakaian agar tidak mengecewakan seluruh PENGGUNA. TRIMAKASIH 🙏",NEGATIF
Nindia Kaneesha,5,2023-02-13 13:37:27,sinyal selalu bagus dimanapun,POSITIF
Joko Witono,1,2023-02-03 01:09:17,"Kuota cepat habis, padahal pemakaian sudah dibatasi dan dipaket.. Semakin kemari pelayanan bukan semakin baik dan hemat, malah semakin parah menyedot kuota...!! 😡😡😡",NEGATIF
Siti rido,1,2023-02-04 03:02:15,"telkomsel licikk,, pake kuota darurat udah tak kembaliin pas ngisi pulsa lagi dpotong lagi tololll... jadi ngisi pulsa dua kalii parahhh...!!!!!",NEGATIF
Herdy Simbolon,1,2023-02-28 15:51:37,Jaringan burukk gak guna,NEGATIF
Bagasdwi Setiawan22,5,2023-02-26 22:38:34,mahal tapi enak siyalnya,NETRAL
Sah Rul,5,2023-02-03 00:49:48,mempermudah kami,POSITIF
Adib Isan,3,2023-02-05 07:36:37,harusnya ada penyamarataan paket yg ditawarkan,NETRAL
iwan Druru,3,2023-02-19 07:23:06,My telkomsel,NETRAL
Edy Suprayetno,4,2023-02-03 01:44:11,lumayan lah.. tp kalo ada paket yg murah dpt 40 gb😁,NETRAL
Jamil Cahyadi,5,2023-02-07 02:47:04,mudah dan cepat Terima kasih Telkomsel indonesia,POSITIF
Akun Oppo,3,2023-02-03 11:38:32,Telkomsel ok,POSITIF
ETERNITY Gaming,1,2023-02-11 02:27:20,Sangat di sayangkan min jaringan nya dulu sangat lancar sekarang udah masuk 2023 JARINGAN NYA AMBURADUL padahal 4G LOH NIH APA KAH UPGRADE KE HP IPHONE GITU,NEGATIF
muhammad nap'an,5,2023-02-14 02:23:58,"Hi kak Veronika , Semangat ya untuk selalu update untuk kesempurnaan aplikasi agar berjalan secara lancar dan no bug . Pertahankan juga untuk kuatnya sinyal yang terbaik untuk Indonesia khususnya di Jakarta karena saya bekerja full di ojek online di Jakarta . Terima kasih Sukses dan sehat selalu untuk semua . Amin",POSITIF
christer 002 TMC,1,2023-02-10 12:39:05,Apk gak jelas makin sering di update makin aneh,NEGATIF
Linda Almukmin,3,2023-02-14 03:38:25,"Tolong kak adakan fitur gembok pulsa, sakit hti bgt pulsa kemakan gra"" kuota hbis.",NETRAL
Amison Magai,5,2023-02-09 18:06:52,mebax mebaxmebaxmevaebaxmebaxmebax CDN jc Jackie iringi JFK di dalam rangka di fakultas cara cek om cantik dan seksi cewek cantik cewek cantik cewek cantik cewek cantik cewek cantik cewek cewek cowok cowok k apa saja sa tdk. via 8 itu saja sudah membuat aki trabisa sabar c c c c itu saja sa tdk sesuai c itu c c itu c c c c itu saja sudah bisa c c c c c c c itu fjdjxjxndhdhhdjfhfjcjcjchhcbbhhhhghhchchchchhchchchchcbchchchchchcjjccjcjcjcjjcjcjcjcjjcjcjcjcncncjcjcjcjxjcnxnncnccnnccnccncnncncncncjc,NETRAL
FairlyPhan Fanartist,4,2023-02-20 10:55:34,"App sangat bagus buat untuk mengecek kuota dan pulsa dan lainnya, cuma ada beberapa bug yang mungkin harus diperbaiki seperti ketika aku kalim hadiah reward itu tidak bisa diklaim. tolong perbaiki ya",NETRAL
Puji Haryanto,5,2023-02-02 21:13:02,mudah dan membantu,POSITIF
Samian Samian,4,2023-02-23 12:28:01,pelanyan yg cpat,POSITIF
Andri Rahmawansah,3,2023-02-04 03:35:33,"Makin kesini semakin muahal, dan akhirnya saya beralih ke pendor sebelah",NEGATIF
Suro Sutrisno,5,2023-02-06 04:59:21,Untuk mengecek data,NETRAL
Febri Sandria,5,2023-02-23 11:31:27,"Karna sekarang sudah membaik saya kembalikan B5, Tapi kalo sampe ada yang buat saya kesal lagi hahaaaa kata² mutiara siap ada di komen >:D",NETRAL
Selvi Agustina,4,2023-02-22 11:51:55,Lebih murah dan mudah,POSITIF
wiko rusmansyah,3,2023-02-02 14:26:46,standar aplikasi,NETRAL
Muhammad Ilyas,1,2023-02-11 14:36:55,"Aplikasi lemot,nyampah2in aja",NEGATIF
andre yansah,5,2023-02-15 01:48:58,terimak kasih,POSITIF
aris munandar,5,2023-02-07 10:43:26,"LU NGADAIN PROMO DAILY CHECK IN, TAPI MULAINYA DI TENGAH BULAN SAMPE AKHIR BULAN DOANG,, NIPU DENGAN CARA HALUS YE !! MANA PAKETAN MAHAL !! SERING GANGGUAN JG !!",NEGATIF
Zakki,2,2023-02-10 04:11:51,kurangin harga biar terjangkau misal 40ribu 20GB auto rating full,NETRAL
Ricky Satrio,2,2023-02-03 15:47:51,tolong di perbaiki lagi sinyal nya lemot suka hilang hilang gak jelas tolong di naikin lgi kapasitas nya. agar semua penggunaan Telkomsel merasa puas,NETRAL
Sutris Cool,5,2023-02-13 19:14:07,"Jangan terlalu mahal"" paketnya,sering"" diskon di paket internetnya",NETRAL
Khoirul Anwar,5,2023-02-11 05:43:01,sinyalnya tolong d perbaiki lgi,NETRAL
Ahmad Yoga Ardianto,5,2023-02-07 08:23:57,Bagus bintang 5,POSITIF
Taufik Hidayat,5,2023-02-06 07:18:04,Cara non aktivkan salah satu paket kouta gmna ya min?,NETRAL
Rafie Alrangga,4,2023-02-03 07:19:58,kok masa berlaku kartu saya tidak nambah ya,NETRAL
Agung Nc,5,2023-02-03 04:30:30,seeimg promo,NETRAL
Aa Adul,1,2023-02-04 04:14:51,"Update terus berjalan tetapi jaringan malah tambah buruk,maaf bintang 1 karna telkomsel sudah rusak jaringan nya",NEGATIF
Maulana Malik,5,2023-02-02 18:33:43,saya suka dengan my Telkomsel selain murah dan terjangkau kualitasnya,POSITIF
Sri dwi Umil bariyah,5,2023-02-15 00:44:39,"trimakasih my telkomsel, saya puas",POSITIF
Sobri Yadi,4,2023-02-10 03:56:22,sangat puas dengan layananya.. 🙏😁,POSITIF
Syella Hamangau,5,2023-02-16 21:29:44,tetap ksh terbaik,POSITIF
Rido Banjarnahor,4,2023-02-12 04:17:00,"Sagat bagus,",POSITIF
Rendi Rendi,1,2023-02-11 14:21:53,Aplikasi merugikan pengguna,NEGATIF
Mas Lilik siKurwa,4,2023-02-11 03:57:19,Harganya disesuaikan,NETRAL
Dwi Xlbaru,2,2023-02-24 09:46:14,Dua dulu btg nya,NETRAL
Yuda Okta Ramadhana,1,2023-02-03 15:13:11,Sekarang Telkomsel sering ngelag.,NEGATIF
Arin Septi,3,2023-02-12 17:55:52,Saya pngguna lama my telkomsel. Dari sekian lama 1 saran saya. Kebanyakan update . Isinya sama saja. Selebihnya oke. Tolong adakan event sprti ada refferal. Agar semua dpt untung.,NETRAL
Redoxx Kiper,5,2023-02-19 14:02:08,"Pelayanan dari costumer service nya sangat memuaskan, ramah dan cekatan yg dimana saat saya mengalami kendala jaringan langsung saya laporkan lokasi dan langsung di perbaiki saya sngat mengapresiasi bintang 5 buat Telkomsel maju terus Telkomsel",POSITIF
Enddy Hendrikuz,5,2023-02-05 14:55:40,mudah dan puas,POSITIF
SAMSUNG A03S,5,2023-02-21 02:23:28,sangat membantu aplikasi ini saya kasi 5 bintang,POSITIF
Bayan Scorpio,3,2023-02-05 13:26:07,Sundelll skat bi respon oyokk,NETRAL
kelpin apriansya,5,2023-02-11 18:37:28,sangat menajupkn,POSITIF
ari rama,1,2023-02-17 01:31:38,"sering kehilang pulsa gak jelas, tampa ada notifikasi😡😡",NEGATIF
umar fathoni,2,2023-02-03 13:40:28,knp pengumumannya tidak terbuk,NETRAL
Mateus Monteiro,5,2023-02-21 02:21:13,Belum di coba,NETRAL
Dimas Wibi,1,2023-02-01 15:32:33,Aplikasi sering gagal loading,NEGATIF
furniture_rattan_pramuka,1,2023-02-25 15:51:52,"Penyesalan datang terakhir dari pasca bayar ditelepon promo dengan pakai kartu halo pertama murah dan sinyal agak bagus eeeh kesini kesini yah malah ngawur... Sudah mahal kuota ya sedikit banyak dibagi bagi sinyalnya juga kurang memuaskan,jangan mau kalau ada yang telepon harus registrasi ke kartu hallo nanti menyesal",NEGATIF
Apolos Yoom,5,2023-02-08 09:32:23,sangat mudah di pakai dan mantap menukal poin,POSITIF
Paulus Duru Payong,5,2023-02-06 15:52:35,Sangat puas dengan tawaran Tpi blom pham dengan cara kerjahnya,NETRAL
Rudi Rudi,5,2023-02-20 14:05:41,"Bagus sih,, tapi poin pas top up dikit banget",NETRAL
Kus Parwati,5,2023-02-03 10:33:44,harus bisa kasih bonuss yaa,NETRAL
Obat Mujarab Ramuan Leluhur,5,2023-02-10 04:47:50,bagus pelayanan,POSITIF
Nix fine235,4,2023-02-13 23:21:09,"Desain Ui udah bagus,Fitur daily chek in dh ada lagi,Paket masih tetap mahal :v,jaringan alhamdulillah udh oke,berharap paket jadi lebih murah + kejutan poin telkom ada lagi",NETRAL
Zhin Zhai,3,2023-02-07 09:40:27,cukup bsik,POSITIF
Andre Channel 01,4,2023-02-10 17:41:30,Emang bagus layanan nya tapi untuk klaim harian gak bisa di klaim hadiah nya dan data mahal jaringan bagus pemakayan jarang abis nya cepat entah kemana sering bug Mulu ada pesan klaim hadiah mu di my Telkom eh penipuan gak ada hadiah apa apa adakan hadiah lah bos supaya kartu ini bisa terpakai soalnya cari uang susah juga kerja pun engga di sini lagi terkena musibah bukan nya bantuin malah nyusahin 🤦 kartu yg lain banyak gratis nya di banding ini tapi ini gak kalah bagus sama jaringan nya aja.,NEGATIF
Jhonfitrah132,3,2023-02-16 01:21:27,"Saya beri 3 bintang dulu, jika poin saya bisa diklain sesuai program hari saya beri lgi bintang, dan jika tidak sesuai saya akan ganti kartu ini telkomsel dengan yg lain..trimakasih",NETRAL
Maroghi Ahmad,1,2023-02-10 22:31:55,"paketan semakin mahal, program daily check in ada 22 cechk sampai hadiah terakhir, tapi kesempatan 17 hari tok, la maksudnya apa sih... makin kesini makin lucu, aneh... lama"" gak guna juga",NEGATIF
tedi,1,2023-02-06 13:05:50,"Telkomsel makin mengecewakan, masa harga kuota beda beda tiap nomer, dan aku harga paling mahal, Setelah tidak aku pakai, cuma beli masa aktif, baru ada di kasih murah, kalian benar benar licik dan penuh tipu daya, saya akan berhenti jadi pelanggan profider licik,",NEGATIF
Jahharal Sumampouw,4,2023-02-08 14:48:49,Baik. Cukup memuaskan,POSITIF
Andri Merandaru,4,2023-02-13 16:58:34,Pulsa sk gk masuk???,NEGATIF
Tiara Khairunnisa,3,2023-02-26 19:16:49,"Saran : tambahin dark mode mata sakit, udh itu aja",NETRAL
Jimmy Aprianto,5,2023-02-06 22:46:31,blm ada pulsa bonus dari my telkomsel,NETRAL
subhanudin,1,2023-02-03 00:13:19,"Saya bingung dengan aplikasi ini, padahal saya uda aktifin perlindungan agar pulsa saya tidak kepotong tapi masi aja kepotong. Tolong di perbaiki lagi dong agar kami sebagai pelanggan tetap nyaman dalam penggunaan aplikasi ini. Jadi saya kasi bintang satu dulu untuk sementara.🧐",NETRAL
G.widzjanarko,1,2023-02-16 08:25:16,"Bonus Checkin nya makin gak masuk akal, batas wktu kurang dr sebulan sedangkn untuk dapat bonus kouta nyampe 1 bulan, makin di akal2in Perusahaan Swasta tp ko kya sistem DPR banyak ngakalin konsumen. di kritik bukn di perbaikin malah di cari cara agar konsumen rugi dan perusahaan saja yg untung",NEGATIF
ferdi nan,2,2023-02-09 11:26:31,jarang dapet murah,NEGATIF
Bowo,5,2023-02-10 13:24:31,Terimakasih telah merespon keluhan pengguna dan memperbaiki aplikasi,POSITIF
Sitti asiyah,5,2023-02-27 05:59:40,Mantap👍 sekarang dah ada daily check in,POSITIF
Lilik Ingezz,3,2023-02-07 15:54:53,sinyal nya di usahakan lebih kenceng,NETRAL
Arif Ajalah,5,2023-02-03 12:56:22,sangat baik👍🏻🙋🏻‍♀️,POSITIF
Putra Di sini,4,2023-02-10 04:53:03,baguss lumayan lah,POSITIF
Yulius Yulianto,5,2023-02-26 19:46:44,Klu bisa perbanyak voucher,NETRAL
Fahrul Rozi,5,2023-02-04 07:35:11,sangat bagus .berkualitas,POSITIF
Agus Priyanto,4,2023-02-10 19:03:03,Mudah untuk pemilihan paket data sesuai keinginan.,POSITIF
Roberto Purba,1,2023-02-10 11:36:33,Sering nge leg jaringan patah patah.Parah deh!!!!,NEGATIF
affan HD,1,2023-02-10 20:23:18,"Apa apaan bikin pusing,sinyal jelek padahal udh beli paket paling banyak",NEGATIF
Kalala Phone,5,2023-02-05 11:26:14,"enak untuk beli Pakat,lebih asyik dan menarik",POSITIF
Syarif Ahmad,1,2023-02-10 07:12:27,Entahlah padahal poin utama instal aplikasi ini adalah daily check in demi mendapat kuota free. Tapi sekamin tidak manuk akal sekali entah apa yang ada di pikiranmu,NEGATIF
