Ulasan,Case Folding,Remove Punctuation,Remove Number,Tokenization,Spelling Correction,Stopwords,Stemming,Sentimen
Alhamdulillah Sudah lumayan jaringannya,alhamdulillah sudah lumayan jaringannya,alhamdulillah sudah lumayan jaringannya,alhamdulillah sudah lumayan jaringannya,"['alhamdulillah', 'sudah', 'lumayan', 'jaringannya']","['alhamdulilah', 'sudah', 'lumayan', 'jaringannya']","['alhamdulilah', 'lumayan', 'jaringannya']",alhamdulilah lumayan jaring,POSITIF
Nanti stlh sy pake apk ini slm 3bln br sy ksih 5 bintang..,nanti stlh sy pake apk ini slm 3bln br sy ksih 5 bintang..,nanti stlh sy pake apk ini slm 3bln br sy ksih 5 bintang  ,nanti stlh sy pake apk ini slm bln br sy ksih  bintang  ,"['nanti', 'stlh', 'sy', 'pake', 'apk', 'ini', 'slm', 'bln', 'br', 'sy', 'ksih', 'bintang']","['nanti', 'setelah', 'saya', 'pakai', 'aplikasi', 'ini', 'selama', 'bulan', 'baru', 'saya', 'kasih', 'bintang']","['pakai', 'aplikasi', 'selama', 'bulan', 'baru', 'kasih', 'bintang']",pakai aplikasi lama bulan baru kasih bintang,NETRAL
sagat berman daa,sagat berman daa,sagat berman daa,sagat berman daa,"['sagat', 'berman', 'daa']","['sangat', 'bermanfaat', 'da']","['sangat', 'bermanfaat', 'da']",sangat manfaat da,POSITIF
baru coba gaes dapat promo murah murahan,baru coba gaes dapat promo murah murahan,baru coba gaes dapat promo murah murahan,baru coba gaes dapat promo murah murahan,"['baru', 'coba', 'gaes', 'dapat', 'promo', 'murah', 'murahan']","['baru', 'coba', 'guys', 'dapat', 'promo', 'murah', 'murahan']","['baru', 'coba', 'guys', 'promo', 'murah', 'murahan']",baru coba guys promo murah murah,NETRAL
Hancur kali jaringan sekarang,hancur kali jaringan sekarang,hancur kali jaringan sekarang,hancur kali jaringan sekarang,"['hancur', 'kali', 'jaringan', 'sekarang']","['hancur', 'kali', 'jaringan', 'sekarang']","['hancur', 'kali', 'jaringan', 'sekarang']",hancur kali jaring sekarang,NEGATIF
"Telkomsel mantaaaap,tolong di tingkatkan lagi pelayanannya.","telkomsel mantaaaap,tolong di tingkatkan lagi pelayanannya.",telkomsel mantaaaap tolong di tingkatkan lagi pelayanannya ,telkomsel mantaaaap tolong di tingkatkan lagi pelayanannya ,"['telkomsel', 'mantaaaap', 'tolong', 'di', 'tingkatkan', 'lagi', 'pelayanannya']","['telkomsel', 'mantap', 'tolong', 'di', 'tingkatkan', 'lagi', 'pelayanannya']","['telkomsel', 'mantap', 'tingkatkan', 'pelayanannya']",telkomsel mantap tingkat layan,NETRAL
Aplikasi apa sudah gada rating,aplikasi apa sudah gada rating,aplikasi apa sudah gada rating,aplikasi apa sudah gada rating,"['aplikasi', 'apa', 'sudah', 'gada', 'rating']","['aplikasi', 'apa', 'sudah', 'tidak ada', 'rating']","['aplikasi', 'apa', 'tidak ada', 'rating']",aplikasi apa tidak ada rating,NETRAL
123 hujan datang seketika sinyal pun hilang ..... Telkomsel sekarang beda dengan yang dulu ...,123 hujan datang seketika sinyal pun hilang ..... telkomsel sekarang beda dengan yang dulu ...,123 hujan datang seketika sinyal pun hilang       telkomsel sekarang beda dengan yang dulu    , hujan datang seketika sinyal pun hilang       telkomsel sekarang beda dengan yang dulu    ,"['hujan', 'datang', 'seketika', 'sinyal', 'pun', 'hilang', 'telkomsel', 'sekarang', 'beda', 'dengan', 'yang', 'dulu']","['hujan', 'datang', 'seketika', 'sinyal', 'pun', 'hilang', 'telkomsel', 'sekarang', 'beda', 'dengan', 'yang', 'dulu']","['hujan', 'datang', 'seketika', 'sinyal', 'hilang', 'telkomsel', 'sekarang', 'beda', 'dulu']",hujan datang ketika sinyal hilang telkomsel sekarang beda dulu,NEGATIF
"Sangat membantu , terimakasih my Telkomsel .","sangat membantu , terimakasih my telkomsel .",sangat membantu   terimakasih my telkomsel  ,sangat membantu   terimakasih my telkomsel  ,"['sangat', 'membantu', 'terimakasih', 'my', 'telkomsel']","['sangat', 'membantu', 'terima kasih', 'my', 'telkomsel']","['sangat', 'membantu', 'terima kasih', 'my', 'telkomsel']",sangat bantu terima kasih my telkomsel,POSITIF
KUOTA ELIT JARINGAN SULIT!!!,kuota elit jaringan sulit!!!,kuota elit jaringan sulit   ,kuota elit jaringan sulit   ,"['kuota', 'elit', 'jaringan', 'sulit']","['kuota', 'elit', 'jaringan', 'sulit']","['kuota', 'elit', 'jaringan', 'sulit']",kuota elit jaring sulit,NEGATIF
BELANDA V INDIA ð®ð³ POLIS,belanda v india ð®ð³ polis,belanda v india ð®ð³ polis,belanda v india ð®ð³ polis,"['belanda', 'v', 'india', 'ð\x9f\x87®ð\x9f\x87³', 'polis']","['belanda', 'v', 'india', 'ð\x9f\x87®ð\x9f\x87³', 'polis']","['belanda', 'v', 'india', 'ð\x9f\x87®ð\x9f\x87³', 'polis']",belanda v india polis,NETRAL
"Akhir-akhir ini jaringan Telkomsel ngeleg parah masa jaringan 4G malah ngeleg, kecewa ama Telkomsel bikin emosi aja lagi main game","akhir-akhir ini jaringan telkomsel ngeleg parah masa jaringan 4g malah ngeleg, kecewa ama telkomsel bikin emosi aja lagi main game",akhir akhir ini jaringan telkomsel ngeleg parah masa jaringan 4g malah ngeleg  kecewa ama telkomsel bikin emosi aja lagi main game,akhir akhir ini jaringan telkomsel ngeleg parah masa jaringan g malah ngeleg  kecewa ama telkomsel bikin emosi aja lagi main game,"['akhir', 'akhir', 'ini', 'jaringan', 'telkomsel', 'ngeleg', 'parah', 'masa', 'jaringan', 'g', 'malah', 'ngeleg', 'kecewa', 'ama', 'telkomsel', 'bikin', 'emosi', 'aja', 'lagi', 'main', 'game']","['akhir', 'akhir', 'ini', 'jaringan', 'telkomsel', 'lag', 'parah', 'masa', 'jaringan', 'g', 'malah', 'lag', 'kecewa', 'sama', 'telkomsel', 'bikin', 'emosi', 'saja', 'lagi', 'main', 'game']","['akhir', 'akhir', 'jaringan', 'telkomsel', 'lag', 'parah', 'masa', 'jaringan', 'g', 'malah', 'lag', 'kecewa', 'sama', 'telkomsel', 'bikin', 'emosi', 'main', 'game']",akhir akhir jaring telkomsel lag parah masa jaring g malah lag kecewa sama telkomsel bikin emosi main game,NEGATIF
"Aplikasi plng buruk, pelayanan plng buruk dari pagi sampe skrng udh mlm mw beli paket internet gabisa mulai dari app sampe *363# tdk ada solusi pengecekan terus gatau apa yg di cek pdhl beli ga gratis","aplikasi plng buruk, pelayanan plng buruk dari pagi sampe skrng udh mlm mw beli paket internet gabisa mulai dari app sampe *363# tdk ada solusi pengecekan terus gatau apa yg di cek pdhl beli ga gratis",aplikasi plng buruk  pelayanan plng buruk dari pagi sampe skrng udh mlm mw beli paket internet gabisa mulai dari app sampe  363  tdk ada solusi pengecekan terus gatau apa yg di cek pdhl beli ga gratis,aplikasi plng buruk  pelayanan plng buruk dari pagi sampe skrng udh mlm mw beli paket internet gabisa mulai dari app sampe    tdk ada solusi pengecekan terus gatau apa yg di cek pdhl beli ga gratis,"['aplikasi', 'plng', 'buruk', 'pelayanan', 'plng', 'buruk', 'dari', 'pagi', 'sampe', 'skrng', 'udh', 'mlm', 'mw', 'beli', 'paket', 'internet', 'gabisa', 'mulai', 'dari', 'app', 'sampe', 'tdk', 'ada', 'solusi', 'pengecekan', 'terus', 'gatau', 'apa', 'yg', 'di', 'cek', 'pdhl', 'beli', 'ga', 'gratis']","['aplikasi', 'pulang', 'buruk', 'pelayanan', 'pulang', 'buruk', 'dari', 'pagi', 'sampai', 'sekarang', 'sudah', 'malam', 'mau', 'beli', 'paket', 'internet', 'tidak bisa', 'mulai', 'dari', 'aplikasi', 'sampai', 'tidak', 'ada', 'solusi', 'pengecekan', 'terus', 'tidak tahu', 'apa', 'yang', 'di', 'cek', 'padahal', 'beli', 'tidak', 'gratis']","['aplikasi', 'pulang', 'buruk', 'pelayanan', 'pulang', 'buruk', 'pagi', 'sekarang', 'malam', 'mau', 'beli', 'paket', 'internet', 'tidak bisa', 'mulai', 'aplikasi', 'tidak', 'solusi', 'pengecekan', 'terus', 'tidak tahu', 'apa', 'cek', 'padahal', 'beli', 'tidak', 'gratis']",aplikasi pulang buruk layan pulang buruk pagi sekarang malam mau beli paket internet tidak bisa mulai aplikasi tidak solusi kece terus tidak tahu apa cek padahal beli tidak gratis,NEGATIF
"Telkomsel sekarang jadi perusahaan curang,setiap kita buka Facebook akan selalu susah terbuka gambar atau vedio.padahal kuota kita berlimpah.disaat kita lengah Telkomsel akan mendatangkan notifikasi pinjam kuota,anehnya kita langsung dapat notifikasi punya hutang 10rb.setelah punya hutang 10rb,gambar vedio langsung kebuka.kan aneh...punya kuota banyak masa gak bisa buka gambar di fb.tolong buat Menkominfo agar PT Telkomsel ini di tegur.di mencurangi masyarakat dengan sistem.","telkomsel sekarang jadi perusahaan curang,setiap kita buka facebook akan selalu susah terbuka gambar atau vedio.padahal kuota kita berlimpah.disaat kita lengah telkomsel akan mendatangkan notifikasi pinjam kuota,anehnya kita langsung dapat notifikasi punya hutang 10rb.setelah punya hutang 10rb,gambar vedio langsung kebuka.kan aneh...punya kuota banyak masa gak bisa buka gambar di fb.tolong buat menkominfo agar pt telkomsel ini di tegur.di mencurangi masyarakat dengan sistem.",telkomsel sekarang jadi perusahaan curang setiap kita buka facebook akan selalu susah terbuka gambar atau vedio padahal kuota kita berlimpah disaat kita lengah telkomsel akan mendatangkan notifikasi pinjam kuota anehnya kita langsung dapat notifikasi punya hutang 10rb setelah punya hutang 10rb gambar vedio langsung kebuka kan aneh   punya kuota banyak masa gak bisa buka gambar di fb tolong buat menkominfo agar pt telkomsel ini di tegur di mencurangi masyarakat dengan sistem ,telkomsel sekarang jadi perusahaan curang setiap kita buka facebook akan selalu susah terbuka gambar atau vedio padahal kuota kita berlimpah disaat kita lengah telkomsel akan mendatangkan notifikasi pinjam kuota anehnya kita langsung dapat notifikasi punya hutang rb setelah punya hutang rb gambar vedio langsung kebuka kan aneh   punya kuota banyak masa gak bisa buka gambar di fb tolong buat menkominfo agar pt telkomsel ini di tegur di mencurangi masyarakat dengan sistem ,"['telkomsel', 'sekarang', 'jadi', 'perusahaan', 'curang', 'setiap', 'kita', 'buka', 'facebook', 'akan', 'selalu', 'susah', 'terbuka', 'gambar', 'atau', 'vedio', 'padahal', 'kuota', 'kita', 'berlimpah', 'disaat', 'kita', 'lengah', 'telkomsel', 'akan', 'mendatangkan', 'notifikasi', 'pinjam', 'kuota', 'anehnya', 'kita', 'langsung', 'dapat', 'notifikasi', 'punya', 'hutang', 'rb', 'setelah', 'punya', 'hutang', 'rb', 'gambar', 'vedio', 'langsung', 'kebuka', 'kan', 'aneh', 'punya', 'kuota', 'banyak', 'masa', 'gak', 'bisa', 'buka', 'gambar', 'di', 'fb', 'tolong', 'buat', 'menkominfo', 'agar', 'pt', 'telkomsel', 'ini', 'di', 'tegur', 'di', 'mencurangi', 'masyarakat', 'dengan', 'sistem']","['telkomsel', 'sekarang', 'jadi', 'perusahaan', 'curang', 'setiap', 'kita', 'buka', 'facebook', 'akan', 'selalu', 'susah', 'terbuka', 'gambar', 'atau', 'video', 'padahal', 'kuota', 'kita', 'berlimpah', 'disaat', 'kita', 'lengah', 'telkomsel', 'akan', 'mendatangkan', 'notifikasi', 'pinjam', 'kuota', 'anehnya', 'kita', 'langsung', 'dapat', 'notifikasi', 'punya', 'hutang', 'ribu', 'setelah', 'punya', 'hutang', 'ribu', 'gambar', 'video', 'langsung', 'kebuka', 'kan', 'aneh', 'punya', 'kuota', 'banyak', 'masa', 'tidak', 'bisa', 'buka', 'gambar', 'di', 'facebook', 'tolong', 'buat', 'menkominfo', 'agar', 'pt', 'telkomsel', 'ini', 'di', 'tegur', 'di', 'mencurangi', 'masyarakat', 'dengan', 'sistem']","['telkomsel', 'sekarang', 'jadi', 'perusahaan', 'curang', 'buka', 'facebook', 'selalu', 'susah', 'terbuka', 'gambar', 'video', 'padahal', 'kuota', 'berlimpah', 'disaat', 'lengah', 'telkomsel', 'mendatangkan', 'notifikasi', 'pinjam', 'kuota', 'anehnya', 'langsung', 'notifikasi', 'punya', 'hutang', 'ribu', 'punya', 'hutang', 'ribu', 'gambar', 'video', 'langsung', 'kebuka', 'kan', 'aneh', 'punya', 'kuota', 'banyak', 'masa', 'tidak', 'buka', 'gambar', 'facebook', 'buat', 'menkominfo', 'pt', 'telkomsel', 'tegur', 'mencurangi', 'masyarakat', 'sistem']",telkomsel sekarang jadi usaha curang buka facebook selalu susah buka gambar video padahal kuota limpah saat lengah telkomsel datang notifikasi pinjam kuota aneh langsung notifikasi punya hutang ribu punya hutang ribu gambar video langsung buka kan aneh punya kuota banyak masa tidak buka gambar facebook buat menkominfo pt telkomsel tegur curang masyarakat sistem,NEGATIF
"cuma satu masalahnya min , jaringan nya lemot,mau push metik log out mulu ð","cuma satu masalahnya min , jaringan nya lemot,mau push metik log out mulu ð",cuma satu masalahnya min   jaringan nya lemot mau push metik log out mulu ð,cuma satu masalahnya min   jaringan nya lemot mau push metik log out mulu ð,"['cuma', 'satu', 'masalahnya', 'min', 'jaringan', 'nya', 'lemot', 'mau', 'push', 'metik', 'log', 'out', 'mulu', 'ð\x9f\x98\x94']","['cuma', 'satu', 'masalahnya', 'admin', 'jaringan', 'nya', 'lambat', 'mau', 'push', 'memetik', 'log', 'out', 'mulu', 'ð\x9f\x98\x94']","['cuma', 'satu', 'masalahnya', 'admin', 'jaringan', 'nya', 'lambat', 'mau', 'push', 'memetik', 'log', 'out', 'mulu', 'ð\x9f\x98\x94']",cuma satu masalah admin jaring nya lambat mau push petik log out mulu,NEGATIF
"beli paket data,beli sekarang bayar nanti belum bisa ya","beli paket data,beli sekarang bayar nanti belum bisa ya",beli paket data beli sekarang bayar nanti belum bisa ya,beli paket data beli sekarang bayar nanti belum bisa ya,"['beli', 'paket', 'data', 'beli', 'sekarang', 'bayar', 'nanti', 'belum', 'bisa', 'ya']","['beli', 'paket', 'data', 'beli', 'sekarang', 'bayar', 'nanti', 'belum', 'bisa', 'ya']","['beli', 'paket', 'data', 'beli', 'sekarang', 'bayar', 'belum']",beli paket data beli sekarang bayar belum,NETRAL
"Telkomsel mantaps jasa, semoga bonusnya tambah ke Prime Video","telkomsel mantaps jasa, semoga bonusnya tambah ke prime video",telkomsel mantaps jasa  semoga bonusnya tambah ke prime video,telkomsel mantaps jasa  semoga bonusnya tambah ke prime video,"['telkomsel', 'mantaps', 'jasa', 'semoga', 'bonusnya', 'tambah', 'ke', 'prime', 'video']","['telkomsel', 'mantap', 'jasa', 'semoga', 'bonusnya', 'tambah', 'ke', 'prime', 'video']","['telkomsel', 'mantap', 'jasa', 'semoga', 'bonusnya', 'tambah', 'prime', 'video']",telkomsel mantap jasa moga bonus tambah prime video,POSITIF
Pelayan Mantap,pelayan mantap,pelayan mantap,pelayan mantap,"['pelayan', 'mantap']","['pelayan', 'mantap']","['pelayan', 'mantap']",layan mantap,POSITIF
Mantap cuyyyy,mantap cuyyyy,mantap cuyyyy,mantap cuyyyy,"['mantap', 'cuyyyy']","['mantap', 'cuy']","['mantap', 'cuy']",mantap cuy,POSITIF
"Diskon pembelian paket data tidak ada, aturan ceck in dibuat ribet. Penggunaan aplikasi sudah tidak menguntungkan kecuali fitur jaga pulsa saja yang berguna. Sisanya semakin tidak menguntungkan user.","diskon pembelian paket data tidak ada, aturan ceck in dibuat ribet. penggunaan aplikasi sudah tidak menguntungkan kecuali fitur jaga pulsa saja yang berguna. sisanya semakin tidak menguntungkan user.",diskon pembelian paket data tidak ada  aturan ceck in dibuat ribet  penggunaan aplikasi sudah tidak menguntungkan kecuali fitur jaga pulsa saja yang berguna  sisanya semakin tidak menguntungkan user ,diskon pembelian paket data tidak ada  aturan ceck in dibuat ribet  penggunaan aplikasi sudah tidak menguntungkan kecuali fitur jaga pulsa saja yang berguna  sisanya semakin tidak menguntungkan user ,"['diskon', 'pembelian', 'paket', 'data', 'tidak', 'ada', 'aturan', 'ceck', 'in', 'dibuat', 'ribet', 'penggunaan', 'aplikasi', 'sudah', 'tidak', 'menguntungkan', 'kecuali', 'fitur', 'jaga', 'pulsa', 'saja', 'yang', 'berguna', 'sisanya', 'semakin', 'tidak', 'menguntungkan', 'user']","['diskon', 'pembelian', 'paket', 'data', 'tidak', 'ada', 'aturan', 'cek', 'in', 'dibuat', 'ribet', 'penggunaan', 'aplikasi', 'sudah', 'tidak', 'menguntungkan', 'kecuali', 'fitur', 'jaga', 'pulsa', 'saja', 'yang', 'berguna', 'sisanya', 'semakin', 'tidak', 'menguntungkan', 'user']","['diskon', 'pembelian', 'paket', 'data', 'tidak', 'aturan', 'cek', 'in', 'dibuat', 'ribet', 'penggunaan', 'aplikasi', 'tidak', 'menguntungkan', 'fitur', 'jaga', 'pulsa', 'berguna', 'sisanya', 'semakin', 'tidak', 'menguntungkan', 'user']",diskon beli paket data tidak atur cek in buat ribet guna aplikasi tidak untung fitur jaga pulsa guna sisa makin tidak untung user,NEGATIF
Ringan buruk sering error,ringan buruk sering error,ringan buruk sering error,ringan buruk sering error,"['ringan', 'buruk', 'sering', 'error']","['ringan', 'buruk', 'sering', 'error']","['ringan', 'buruk', 'sering', 'error']",ringan buruk sering error,NEGATIF
