content,textPreprocessing,sentiment
sagat berman daa,sangat manfaat da,POSITIF
baru coba gaes dapat promo murah murahan,baru coba guys promo murah murah,NETRAL
Hancur kali jaringan sekarang,hancur kali jaring sekarang,NEGATIF
"Telkomsel mantaaaap,tolong di tingkatkan lagi pelayanannya.",telkomsel mantap tingkat layan,NETRAL
Aplikasi apa sudah gada rating,aplikasi apa tidak ada rating,NETRAL
123 hujan datang seketika sinyal pun hilang ..... Telkomsel sekarang beda dengan yang dulu ...,hujan datang ketika sinyal hilang telkomsel sekarang beda dulu,NEGATIF
"Sangat membantu , terimakasih my Telkomsel .",sangat bantu terima kasih my telkomsel,POSITIF
KUOTA ELIT JARINGAN SULIT!!!,kuota elit jaring sulit,NEGATIF
BELANDA V INDIA ð®ð³ POLIS,belanda v india polis,NETRAL
"Akhir-akhir ini jaringan Telkomsel ngeleg parah masa jaringan 4G malah ngeleg, kecewa ama Telkomsel bikin emosi aja lagi main game",akhir akhir jaring telkomsel lag parah masa jaring g malah lag kecewa sama telkomsel bikin emosi main game,NEGATIF
"Aplikasi plng buruk, pelayanan plng buruk dari pagi sampe skrng udh mlm mw beli paket internet gabisa mulai dari app sampe *363# tdk ada solusi pengecekan terus gatau apa yg di cek pdhl beli ga gratis",aplikasi pulang buruk layan pulang buruk pagi sekarang malam mau beli paket internet tidak bisa mulai aplikasi tidak solusi kece terus tidak tahu apa cek padahal beli tidak gratis,NEGATIF
"Telkomsel sekarang jadi perusahaan curang,setiap kita buka Facebook akan selalu susah terbuka gambar atau vedio.padahal kuota kita berlimpah.disaat kita lengah Telkomsel akan mendatangkan notifikasi pinjam kuota,anehnya kita langsung dapat notifikasi punya hutang 10rb.setelah punya hutang 10rb,gambar vedio langsung kebuka.kan aneh...punya kuota banyak masa gak bisa buka gambar di fb.tolong buat Menkominfo agar PT Telkomsel ini di tegur.di mencurangi masyarakat dengan sistem.",telkomsel sekarang jadi usaha curang buka facebook selalu susah buka gambar video padahal kuota limpah saat lengah telkomsel datang notifikasi pinjam kuota aneh langsung notifikasi punya hutang ribu punya hutang ribu gambar video langsung buka kan aneh punya kuota banyak masa tidak buka gambar facebook buat menkominfo pt telkomsel tegur curang masyarakat sistem,NEGATIF
"cuma satu masalahnya min , jaringan nya lemot,mau push metik log out mulu ð",cuma satu masalah admin jaring nya lambat mau push petik log out mulu,NEGATIF
"beli paket data,beli sekarang bayar nanti belum bisa ya",beli paket data beli sekarang bayar belum,NETRAL
"Telkomsel mantaps jasa, semoga bonusnya tambah ke Prime Video",telkomsel mantap jasa moga bonus tambah prime video,POSITIF
Pelayan Mantap,layan mantap,POSITIF
Mantap cuyyyy,mantap cuy,POSITIF
"Diskon pembelian paket data tidak ada, aturan ceck in dibuat ribet. Penggunaan aplikasi sudah tidak menguntungkan kecuali fitur jaga pulsa saja yang berguna. Sisanya semakin tidak menguntungkan user.",diskon beli paket data tidak atur cek in buat ribet guna aplikasi tidak untung fitur jaga pulsa guna sisa makin tidak untung user,NEGATIF
Ringan buruk sering error,ringan buruk sering error,NEGATIF
Jaringannya sangat bagusðð,jaring sangat bagus,POSITIF
"aplikasi sangat membantu.. dan mudah di pahami,buat yang belum download buaruan download,beli pulsa&paket data jadi mudah dan banyak diskon nya",aplikasi sangat bantu mudah paham buat belum download buru download beli pulsa paket data jadi mudah banyak diskon nya,POSITIF
smoga dapat pulsa gratis in hari,moga pulsa gratis in hari,NETRAL
Mohon kepada Telkomsel untuk Kouta nya jangan terlalu mahal,mohon telkomsel kouta nya jangan terlalu mahal,NETRAL
payah paket kuotanya ga jelas pulsa kadang ilang sendiri jauh beda sama xl paket gede harga miring,payah paket kuota tidak jelas pulsa kadang hilang sendiri jauh beda sama xl paket besar harga miring,NEGATIF
telkomsel sinyalnya ngeri gak sebanding dngn harga dlu rajanya sinyal sekarang aduuh parahhhhh,telkomsel sinyal ngeri tidak banding harga dulu raja sinyal sekarang aduh parah,NEGATIF
sangat mudah di fungsinya,sangat mudah fungsi,POSITIF
"Sangat tidak enak harga mahal, ga sesuai dengan yg di dapat",sangat tidak enak harga mahal tidak sesuai,NEGATIF
beri kan diskon harga lagi,beri kan diskon harga,NETRAL
"Yes, it's good",yes it s good,POSITIF
Udah beli toping pakey youtube. Tp yg kemakan masig kuota utama. kagak jelas amat.,beli toping paket youtube makan kuota utama tidak jelas,NEGATIF
Semaki. Buruk suka hilang gk jelas telkomsel..... Gk stabil...... Payah,makin buruk suka hilang tidak jelas telkomsel tidak stabil payah,NEGATIF
lemot terus........ð¡ð¡ð¡,lambat terus,NEGATIF
"Bintang paling mentok bintang 1 ??? G bisa di kurangi lagi ??? Kasih -5 begitu. Harga paket mahal sekali, jaringan tidak stabil, poin selalu hangus di akhir tahun. Terlalu banyak makan uang konsumen provider 1 ini. Tukar poin pun harus pakai tambahan pulsa. SANGAT KECEWA ððððð",bintang paling mentok bintang g kurang kasih harga paket mahal sekali jaring tidak stabil poin selalu hangus akhir tahun terlalu banyak makan uang konsumen provider tukar poin pakai tambah pulsa sangat kecewa,NEGATIF
Telkomsel terlalu mahal untuk beli paket,telkomsel terlalu mahal beli paket,NEGATIF
paket kuota nya pada mahal semua,paket kuota nya mahal semua,NEGATIF
"Aplikasi nya bagus, hanya pajak, ppn, dan jasanya dimurahkan ya, karena saat ingin isi ulang/top up di dalam permainan, selalu saja kekurangan pulsa Telkomsel nya, jadi tolong min agar dimurahkan sedikit.",aplikasi nya bagus pajak ppn jasa murah isi ulang top up main selalu kurang pulsa telkomsel nya jadi admin murah sedikit,NETRAL
"Aku kasih 3 bintang,karna makin jelek sinyalnya ketika main game,tdak seperti dulu",aku kasih bintang makin jelek sinyal main game tidak dulu,NEGATIF
Jaringan ampass bgt,jaring ampas banget,NEGATIF
udah berbulan-bulan sinyal di tempat gw jelek banget main game online gabisa. ga pernah di benerin sama ini operator . apaan harga kuota mahal kualitas jelek. mengecewakan.,bulan bulan sinyal tempat gue jelek banget main game online tidak bisa tidak pernah benar sama operator apa harga kuota mahal kualitas jelek kecewa,NEGATIF
Kenapa link telkomsel selalu tidak valid atau kadaluarsa,link telkomsel selalu tidak valid kadaluarsa,NETRAL
"Mohon bantuan nya kak..nomor hp saya ,paket kuota nya mahal-mahal kak..",mohon bantu nya kak nomor hp paket kuota nya mahal mahal kak,NETRAL
ya sangat . bagus .praktis.,sangat bagus praktis,POSITIF
lancar asal ada kuota,lancar asal kuota,NETRAL
Jaringan Telkomsel di Bandar Lampung udah 2 hari ini jaringan nya lelet kayak bekicotð©,jaring telkomsel bandar lampung hari jaring nya lambat bekicot,NEGATIF
Lumayan..mantap,lumayan mantap,NETRAL
kalau menang undiannya saya ksh bintang 5 wkwkwkwk,kalau menang undi kasih bintang wkwk,NETRAL
"Tunggu l, saya akan segera balik.",tunggu l segera,NETRAL
"Modul 3.1 Pengambilan Keputusan Berbasis Nilai-Nilai Kebajikan Sebagai Pemimpin 1. Fact (Peristiwa) : Pengalaman saya mengikuti pembelajaran pada minggu ini sangat luar biasa. Saya melaui tahapan belajar MERDEKA sama halnya dengan modul-modul sebelumnya. MERDEKA merupakan singkatan dari Mulai dari diri, Eksplorasi konsep, Ruang kolaborasi, Demonstrasi kontekstual, Elaborasi pemahan, Koneksi antar materi, Aksi nyata. Tahap mulai dari diri, saya melakukan kegiatan yang bertujuan untuk mengakt",modul ambil putus bas nilai nilai baik pimpin fact peristiwa alam ikut ajar minggu sangat luar biasa lalu tahap ajar merdeka sama hal modul modul belum merdeka rupa singkat mulai diri eksplorasi konsep ruang kolaborasi demonstrasi kontekstual elaborasi paham koneksi antar materi aksi nyata tahap mulai diri laku giat tuju aktif,NETRAL
kualitas oke,kualitas oke,POSITIF
sangat baik dan. memuaskan,sangat baik muas,POSITIF
walaupun gak pernah dapat menang undian pulsa tetep terbaik Telkomsel mungkin belum rezeki,walaupun tidak pernah menang undi pulsa tetap baik telkomsel mungkin belum rezeki,POSITIF
"Bagus banget,kalian harus pake telkomsel",bagus banget kalian pakai telkomsel,POSITIF
semoga makin membaik,moga makin baik,NETRAL
"Ku Download, Login Minta Kode Verifikasi, SMS Masuk Yang Ber Isi Link,. Bingung, gk Sperti Kartu Yang Lain Cepat Simpel gk Ribet,. Langsung Uninstal. Gk Bagus Mempersulit",ku download login minta kode verifikasi sms masuk ber isi link bingung tidak kartu cepat simpel tidak ribet langsung uninstall tidak bagus sulit,NEGATIF
"KUOTA MAHAL KONEKSI MURAHAN. kuota di bagiÂ² tapi banyak yg gak kepake, kuota youtube kagak bisa di pake youtubeð¤£ð¤£ Kuota abis pulsa langsung kesedot. Cari untung gini amat njir, amitÂ² simpati Bagusan pake IM3 Kuota murah, koneksi bagus, kuota abis pulsa kagak jadi korban, pake game lancar. Ganti nama jangan pake simpati tapi SIMTAI!!",kuota mahal koneksi murah kuota banyak tidak pakai kuota youtube tidak pakai youtube kuota habis pulsa langsung sedot cari untung begini anjis amit simpati lebih bagus pakai im kuota murah koneksi bagus kuota habis pulsa tidak jadi korban pakai game lancar ganti nama jangan pakai simpati sim tai,NEGATIF
"USAHAKAN DULU JARINGAN NYA JANGAN UPDATE PAKET NYA AJA,GUA MAHALÂ² BELI PAKET MALAH NGELAG LU PIKIR PAKET GUA DI KASIH BAPAK NENEK LU,KAGAK TOLOL,LU PERBAIKI TU DULU JARINGAN NYA,KALAU KEDEPAN NYA MASIH KEK GINI MENDING HUA BERALIH KARTU LAIN AJA DEH,GAK SANGGUP HUA BERTAHAN AMA YG MAHAL DOANG TAPI KAGAK BERKUALITAS",usaha dulu jaring nya jangan update paket nya gue mahal beli paket malah lag lu pikir paket gue kasih bapak nenek lu tidak tolol lu baik tu dulu jaring nya kalau depan nya kek begini mending hua alih kartu deh tidak sanggup hua tahan sama mahal doang tidak kualitas,NEGATIF
tingkatkan kualitas dan pelayanan,tingkat kualitas layan,NETRAL
paketnya terlalu mahal jdi kasi bintang 3 dulu,paket terlalu mahal jadi kasih bintang dulu,NEGATIF
Kalo musim huja lalod Binlkin stresnya klo pas butuh informasi,kalau musim hujan lambat binlkin stress kalau pas butuh informasi,NEGATIF
"Harga paket mahal, tapi jaringan lemot.",harga paket mahal jaring lambat,NEGATIF
baru menggunakan aplikasi ini,baru guna aplikasi,NETRAL
arnala240297,arnala,NETRAL
"Sinyal full kenapa lemmot,saya pengguna di papua,tolong di tingkatkan lagi",sinyal full lambat guna papua tingkat,NEGATIF
loading cu ah,loading cu ah,NETRAL
makin kacau dan makin gak karuan banget TELKOMSEL ini.. makin usia lanjut makin uzur dengan segala programnya,makin kacau makin tidak karuan banget telkomsel makin usia lanjut makin uzur segala program,NEGATIF
"Signal suka ilang-ilangan ga jelas,,,padahal kuota lebih dari 90GB,,,yang becus lah!!!",sinyal suka hilang hilang tidak jelas padahal kuota lebih gb becus lah,NEGATIF
"Biar bintang yang bicara,soal nyah susah di jelaskan dengan kata-kata,mantulll poko nyah",biar bintang bicara soal nya susah jelas kata kata mantap betul pokok nya,POSITIF
Tolong berikan yg terbaik dong,ikan baik dong,NETRAL
"Tolong yg ga punya hutang jgn di potong, setiap saya isi ulang pulsa, slalu di potong padahal saya ga pernah ngutang",tidak punya hutang jangan potong isi ulang pulsa selalu potong padahal tidak pernah hutang,NEGATIF
puas cm promo tambah ini lagi,puas cuma promo tambah,POSITIF
siapa tau dapet mobil,siapa tahu mobil,NETRAL
Sering ngebug pas login,sering bug pas login,NEGATIF
Percuma bisa check in tapi nggak dapat bonus utamanya!!!!!!!!!!!,percuma check in tidak bonus utama,NEGATIF
Kenapa sinyal telkomsel jadi ikut ikut m3 hah,sinyal telkomsel jadi ikut ikut m hah,NETRAL
Sinyal parah bener main game ngelag terus,sinyal parah benar main game lag terus,NEGATIF
utamakan kualitas jaringan internet yg lebih baik,utama kualitas jaring internet lebih baik,NETRAL
"Promo hanya untukmu sangat bersaing dengan kartu sim lain, semoga pingnya lebih stabil lagi terkadang lompat lompat di daerah Karangharjo, glenmore, Banyuwangi",promo untuk sangat saing kartu sim moga ping lebih stabil terkadang lompat lompat daerah karangharjo glenmore banyuwangi,NETRAL
lumayanlah,lumayan lah,NETRAL
"Sedikit saran buat Telkomsel mohon untuk memperbaiki jaringan""signal di daerah""agar lebih baik lagi, ap lagi banyak konsumen pengguna berasal dari daerah""tepencil.makin hari jaringan internet di daerah""makin melambat/lemot",sedikit saran buat telkomsel mohon baik jaring sinyal daerah lebih baik aplikasi banyak konsumen guna asal daerah pencil makin hari jaring internet daerah makin lambat lambat,NETRAL
Masa aktif nya diperbatas kaga kaya dulu lagi sama hadiah login juga dibatasi jadi susah untuk dapet bonus intinya itu aja min tolong dikoreksi kedepannya,masa aktif nya batas tidak kaya dulu sama hadiah login batas jadi susah bonus inti admin koreksi depan,NETRAL
mantap.. cuma sedikit kecewa sama vs nya..,mantap cuma sedikit kecewa sama vs nya,NETRAL
sangat bgus sekali kurang nya cuman gk bisa beli pulsa bayar nya nnti,sangat bagus sekali kurang nya cuma tidak beli pulsa bayar nya,NETRAL
Aplikasi sangat bagus sangat membatu dan mudah sekali utk pengoperasiannya pokoknya best off the best deh,aplikasi sangat bagus sangat batu mudah sekali operasi pokok best off the best deh,POSITIF
cara buat kartu 3g jadi 4g gimana ya ... kartu telkomsel,cara buat kartu g jadi g bagaimana kartu telkomsel,NETRAL
solusi mudah,solusi mudah,POSITIF
"perbanyak promo , karna kami orang susah",banyak promo orang susah,NETRAL
"Untuk management My Telkonsel. jaringan internet sangat lah buruk, dan banyak merugikan masyarakat yang menggunakan Telkomsel. Termasuk saya pribadi merasa sangat dirugikan/merasa kecewa dikarenakan jaringan internet sering tidak normal dan bermasalah, pada saat jaringan internet 4G tetapi tidak bisa sama sekali di gunakan untuk bersosial media. Harapan saya:tolong masalah ini segera di tindak lanjut demi kelancaran pemakaian agar tidak mengecewakan seluruh PENGGUNA. TRIMAKASIH ð",manajemen my telkomsel jaring internet sangat lah buruk banyak rugi masyarakat guna telkomsel masuk pribadi rasa sangat rugi rasa kecewa karena jaring internet sering tidak normal masalah jaring internet g tidak sama sekali guna sosial media harap masalah segera tindak lanjut lancar pakai tidak kecewa seluruh guna terima kasih,NEGATIF
sinyal selalu bagus dimanapun,sinyal selalu bagus mana,POSITIF
"Kuota cepat habis, padahal pemakaian sudah dibatasi dan dipaket.. Semakin kemari pelayanan bukan semakin baik dan hemat, malah semakin parah menyedot kuota...!! ð¡ð¡ð¡",kuota cepat habis padahal pakai batas paket makin kemari layan bukan makin baik hemat malah makin parah sedot kuota,NEGATIF
"telkomsel licikk,, pake kuota darurat udah tak kembaliin pas ngisi pulsa lagi dpotong lagi tololll... jadi ngisi pulsa dua kalii parahhh...!!!!!",telkomsel licik pakai kuota darurat tak kembali pas isi pulsa potong tolol jadi isi pulsa kali parah,NEGATIF
Jaringan burukk gak guna,jaring buruk tidak,NEGATIF
mahal tapi enak siyalnya,mahal enak sinyal,NETRAL
mempermudah kami,mudah,POSITIF
harusnya ada penyamarataan paket yg ditawarkan,harus sama rata paket tawar,NETRAL
My telkomsel,my telkomsel,NETRAL
lumayan lah.. tp kalo ada paket yg murah dpt 40 gbð,lumayan lah kalau paket murah gb,NETRAL
mudah dan cepat Terima kasih Telkomsel indonesia,mudah cepat terima kasih telkomsel indonesia,POSITIF
Telkomsel ok,telkomsel oke,POSITIF
Sangat di sayangkan min jaringan nya dulu sangat lancar sekarang udah masuk 2023 JARINGAN NYA AMBURADUL padahal 4G LOH NIH APA KAH UPGRADE KE HP IPHONE GITU,sangat sayang admin jaring nya dulu sangat lancar sekarang masuk jaring nya amburadul padahal g loh nih apa upgrade hp iphone,NEGATIF
"Hi kak Veronika , Semangat ya untuk selalu update untuk kesempurnaan aplikasi agar berjalan secara lancar dan no bug . Pertahankan juga untuk kuatnya sinyal yang terbaik untuk Indonesia khususnya di Jakarta karena saya bekerja full di ojek online di Jakarta . Terima kasih Sukses dan sehat selalu untuk semua . Amin",hi kak veronika semangat selalu update sempurna aplikasi jalan lancar no bug tahan kuat sinyal baik indonesia khusus jakarta kerja full ojek online jakarta terima kasih sukses sehat selalu semua amin,POSITIF
Apk gak jelas makin sering di update makin aneh,aplikasi tidak jelas makin sering update makin aneh,NEGATIF
"Tolong kak adakan fitur gembok pulsa, sakit hti bgt pulsa kemakan gra"" kuota hbis.",kak adakan fitur gembok pulsa sakit hati banget pulsa makan gara kuota habis,NETRAL
mebax mebaxmebaxmevaebaxmebaxmebax CDN jc Jackie iringi JFK di dalam rangka di fakultas cara cek om cantik dan seksi cewek cantik cewek cantik cewek cantik cewek cantik cewek cantik cewek cewek cowok cowok k apa saja sa tdk. via 8 itu saja sudah membuat aki trabisa sabar c c c c itu saja sa tdk sesuai c itu c c itu c c c c itu saja sudah bisa c c c c c c c itu fjdjxjxndhdhhdjfhfjcjcjchhcbbhhhhghhchchchchhchchchchcbchchchchchcjjccjcjcjcjjcjcjcjcjjcjcjcjcncncjcjcjcjxjcnxnncnccnnccnccncnncncncncjc,mebax mebax cdn jc jackie iring jfk rangka fakultas cara cek om cantik seksi cewek cantik cewek cantik cewek cantik cewek cantik cewek cantik cewek cewek cowok cowok k apa sa tidak via buat aki tidak bisa sabar c c c c sa tidak sesuai c c c c c c c c c c c c c c fjdjxjxndhdhhdjfh,NETRAL
"App sangat bagus buat untuk mengecek kuota dan pulsa dan lainnya, cuma ada beberapa bug yang mungkin harus diperbaiki seperti ketika aku kalim hadiah reward itu tidak bisa diklaim. tolong perbaiki ya",aplikasi sangat bagus buat ecek kuota pulsa lain cuma beberapa bug mungkin baik aku kalim hadiah reward tidak klaim baik,NETRAL
mudah dan membantu,mudah bantu,POSITIF
pelanyan yg cpat,layan cepat,POSITIF
"Makin kesini semakin muahal, dan akhirnya saya beralih ke pendor sebelah",makin kesini makin mahal akhir alih vendor belah,NEGATIF
Untuk mengecek data,ecek data,NETRAL
"Karna sekarang sudah membaik saya kembalikan B5, Tapi kalo sampe ada yang buat saya kesal lagi hahaaaa kataÂ² mutiara siap ada di komen >:D",sekarang baik kembali b kalau buat kesal haha kata mutiara siap komentar d,NETRAL
Lebih murah dan mudah,lebih murah mudah,POSITIF
standar aplikasi,standar aplikasi,NETRAL
"Aplikasi lemot,nyampah2in aja",aplikasi lambat sampah,NEGATIF
terimak kasih,terima kasih,POSITIF
"LU NGADAIN PROMO DAILY CHECK IN, TAPI MULAINYA DI TENGAH BULAN SAMPE AKHIR BULAN DOANG,, NIPU DENGAN CARA HALUS YE !! MANA PAKETAN MAHAL !! SERING GANGGUAN JG !!",lu ada promo daily check in mulai tengah bulan akhir bulan doang tipu cara halus ye mana paket mahal sering ganggu,NEGATIF
kurangin harga biar terjangkau misal 40ribu 20GB auto rating full,kurang harga biar jangkau misal ribu gb auto rating full,NETRAL
tolong di perbaiki lagi sinyal nya lemot suka hilang hilang gak jelas tolong di naikin lgi kapasitas nya. agar semua penggunaan Telkomsel merasa puas,baik sinyal nya lambat suka hilang hilang tidak jelas naik kapasitas nya semua guna telkomsel rasa puas,NETRAL
"Jangan terlalu mahal"" paketnya,sering"" diskon di paket internetnya",jangan terlalu mahal paket sering diskon paket internetnya,NETRAL
sinyalnya tolong d perbaiki lgi,sinyal d baik,NETRAL
Bagus bintang 5,bagus bintang,POSITIF
Cara non aktivkan salah satu paket kouta gmna ya min?,cara non aktif salah satu paket kouta bagaimana admin,NETRAL
kok masa berlaku kartu saya tidak nambah ya,kok masa laku kartu tidak tambah,NETRAL
seeimg promo,see img promo,NETRAL
"Update terus berjalan tetapi jaringan malah tambah buruk,maaf bintang 1 karna telkomsel sudah rusak jaringan nya",update terus jalan jaring malah tambah buruk maaf bintang telkomsel rusak jaring nya,NEGATIF
saya suka dengan my Telkomsel selain murah dan terjangkau kualitasnya,suka my telkomsel murah jangkau kualitas,POSITIF
"trimakasih my telkomsel, saya puas",terima kasih my telkomsel puas,POSITIF
sangat puas dengan layananya.. ðð,sangat puas layan,POSITIF
tetap ksh terbaik,tetap kasih baik,POSITIF
"Sagat bagus,",sangat bagus,POSITIF
Aplikasi merugikan pengguna,aplikasi rugi guna,NEGATIF
Harganya disesuaikan,harga sesuai,NETRAL
Dua dulu btg nya,dulu batang nya,NETRAL
Sekarang Telkomsel sering ngelag.,sekarang telkomsel sering lag,NEGATIF
Saya pngguna lama my telkomsel. Dari sekian lama 1 saran saya. Kebanyakan update . Isinya sama saja. Selebihnya oke. Tolong adakan event sprti ada refferal. Agar semua dpt untung.,guna lama my telkomsel sekian lama saran banyak update isi sama lebih oke adakan event refferal semua untung,NETRAL
"Pelayanan dari costumer service nya sangat memuaskan, ramah dan cekatan yg dimana saat saya mengalami kendala jaringan langsung saya laporkan lokasi dan langsung di perbaiki saya sngat mengapresiasi bintang 5 buat Telkomsel maju terus Telkomsel",layan customer service nya sangat muas ramah cekat alami kendala jaring langsung lapor lokasi langsung baik sangat apresiasi bintang buat telkomsel maju terus telkomsel,POSITIF
mudah dan puas,mudah puas,POSITIF
sangat membantu aplikasi ini saya kasi 5 bintang,sangat bantu aplikasi kasih bintang,POSITIF
Sundelll skat bi respon oyokk,sundel sekat bi respon ayo,NETRAL
sangat menajupkn,sangat takjub,POSITIF
"sering kehilang pulsa gak jelas, tampa ada notifikasið¡ð¡",sering hilang pulsa tidak jelas notifikasi,NEGATIF
knp pengumumannya tidak terbuk,umum tidak buka,NETRAL
Belum di coba,belum coba,NETRAL
Aplikasi sering gagal loading,aplikasi sering gagal loading,NEGATIF
"Penyesalan datang terakhir dari pasca bayar ditelepon promo dengan pakai kartu halo pertama murah dan sinyal agak bagus eeeh kesini kesini yah malah ngawur... Sudah mahal kuota ya sedikit banyak dibagi bagi sinyalnya juga kurang memuaskan,jangan mau kalau ada yang telepon harus registrasi ke kartu hallo nanti menyesal",sesal datang akhir pasca bayar telepon promo pakai kartu halo pertama murah sinyal bagus eh kesini kesini malah sembarang mahal kuota sedikit banyak bagi sinyal kurang muas jangan mau kalau telepon registrasi kartu halo sesal,NEGATIF
sangat mudah di pakai dan mantap menukal poin,sangat mudah pakai mantap tukar poin,POSITIF
Sangat puas dengan tawaran Tpi blom pham dengan cara kerjahnya,sangat puas tawar belum paham cara kerja,NETRAL
"Bagus sih,, tapi poin pas top up dikit banget",bagus sih poin pas top up sedikit banget,NETRAL
harus bisa kasih bonuss yaa,kasih bonus,NETRAL
bagus pelayanan,bagus layan,POSITIF
"Desain Ui udah bagus,Fitur daily chek in dh ada lagi,Paket masih tetap mahal :v,jaringan alhamdulillah udh oke,berharap paket jadi lebih murah + kejutan poin telkom ada lagi",desain ui bagus fitur daily cek in paket tetap mahal v jaring alhamdulilah oke harap paket jadi lebih murah kejut poin telkom,NETRAL
cukup bsik,cukup baik,POSITIF
Emang bagus layanan nya tapi untuk klaim harian gak bisa di klaim hadiah nya dan data mahal jaringan bagus pemakayan jarang abis nya cepat entah kemana sering bug Mulu ada pesan klaim hadiah mu di my Telkom eh penipuan gak ada hadiah apa apa adakan hadiah lah bos supaya kartu ini bisa terpakai soalnya cari uang susah juga kerja pun engga di sini lagi terkena musibah bukan nya bantuin malah nyusahin ð¤¦ kartu yg lain banyak gratis nya di banding ini tapi ini gak kalah bagus sama jaringan nya aja.,memang bagus layan nya klaim hari tidak klaim hadiah nya data mahal jaring bagus pakai jarang habis nya cepat entah sering bug mulu pesan klaim hadiah mu my telkom eh tipu tidak hadiah apa apa adakan hadiah lah bos kartu pakai soal cari uang susah kerja tidak sini kena musibah bukan nya bantu malah susah kartu banyak gratis nya banding tidak kalah bagus sama jaring nya,NEGATIF
"Saya beri 3 bintang dulu, jika poin saya bisa diklain sesuai program hari saya beri lgi bintang, dan jika tidak sesuai saya akan ganti kartu ini telkomsel dengan yg lain..trimakasih",beri bintang dulu poin klaim sesuai program hari beri bintang tidak sesuai ganti kartu telkomsel terima kasih,NETRAL
"paketan semakin mahal, program daily check in ada 22 cechk sampai hadiah terakhir, tapi kesempatan 17 hari tok, la maksudnya apa sih... makin kesini makin lucu, aneh... lama"" gak guna juga",paket makin mahal program daily check in cek hadiah akhir sempat hari tok la maksud apa sih makin kesini makin lucu aneh lama tidak,NEGATIF
"Telkomsel makin mengecewakan, masa harga kuota beda beda tiap nomer, dan aku harga paling mahal, Setelah tidak aku pakai, cuma beli masa aktif, baru ada di kasih murah, kalian benar benar licik dan penuh tipu daya, saya akan berhenti jadi pelanggan profider licik,",telkomsel makin kecewa masa harga kuota beda beda tiap nomor aku harga paling mahal tidak aku pakai cuma beli masa aktif baru kasih murah kalian benar benar licik penuh tipu daya henti jadi langgan provider licik,NEGATIF
Baik. Cukup memuaskan,baik cukup muas,POSITIF
Pulsa sk gk masuk???,pulsa sk tidak masuk,NEGATIF
"Saran : tambahin dark mode mata sakit, udh itu aja",saran tambah dark mode mata sakit,NETRAL
blm ada pulsa bonus dari my telkomsel,belum pulsa bonus my telkomsel,NETRAL
"Saya bingung dengan aplikasi ini, padahal saya uda aktifin perlindungan agar pulsa saya tidak kepotong tapi masi aja kepotong. Tolong di perbaiki lagi dong agar kami sebagai pelanggan tetap nyaman dalam penggunaan aplikasi ini. Jadi saya kasi bintang satu dulu untuk sementara.ð§",bingung aplikasi padahal aktif lindung pulsa tidak potong potong baik dong langgan tetap nyaman guna aplikasi jadi kasih bintang satu dulu,NETRAL
